Parameters:
K = 928
cycle = 18
D1 = 526102
D2 = 633155
alpha_rep1 = 0.01853472
alpha_rep2 = 0.01361968
log_likelihood_rep1 = 379.655303
log_likelihood_rep2 = 1017.662700
convergence_rep1 = 0
convergence_rep2 = 0

Species	N_rep1	r_rep1	N_rep2	r_rep2
140	26610.809309	0.00032024	17531.252219	0.00021095
141	32313.125590	0.00038886	38221.288624	0.00045992
142	18817.643725	0.00022645	36799.835741	0.00044281
143	8743.551629	0.00010522	4106.419437	0.00004941
144	1330.540464	0.00001601	1579.392091	0.00001900
145	30032.199078	0.00036141	32219.598674	0.00038770
146	3991.621396	0.00004804	2053.209718	0.00002471
147	74700.343278	0.00089895	93657.951053	0.00112699
148	98650.071658	0.00118716	98712.005747	0.00118781
149	72419.416766	0.00087150	49434.972477	0.00059485
150	380.154417	0.00000457	315.878418	0.00000380
151	54742.236295	0.00065877	55436.662427	0.00066707
152	2280.926511	0.00002745	6791.385993	0.00008172
153	7032.856745	0.00008463	4738.176275	0.00005701
154	5132.084652	0.00006176	1895.270508	0.00002281
155	16156.562794	0.00019443	9950.170178	0.00011973
156	3041.235349	0.00003660	1579.392091	0.00001900
157	9503.860467	0.00011437	3474.662601	0.00004181
158	6462.625117	0.00007777	8686.656504	0.00010453
159	53601.773039	0.00064505	31745.781047	0.00038200
160	7222.933954	0.00008692	947.635256	0.00001140
161	17487.103260	0.00021044	12793.075943	0.00015394
162	8743.551629	0.00010522	11055.744642	0.00013303
163	11594.709770	0.00013953	10739.866224	0.00012923
164	25090.191634	0.00030194	15635.981709	0.00018815
165	4371.775814	0.00005261	315.878416	0.00000380
166	10264.169304	0.00012352	1579.392091	0.00001900
167	13305.404654	0.00016012	6633.446784	0.00007982
168	18627.566516	0.00022416	13898.650407	0.00016724
169	5702.316280	0.00006862	1421.452881	0.00001710
170	5702.316279	0.00006862	2369.088136	0.00002851
171	15966.485585	0.00019214	15478.042499	0.00018625
172	157003.774932	0.00188939	132668.935725	0.00159641
173	1900.772092	0.00002287	1737.331300	0.00002091
174	15206.176747	0.00018299	19584.461939	0.00023566
175	36494.824196	0.00043918	29376.692909	0.00035349
176	2280.926511	0.00002745	473.817625	0.00000570
177	1900.772092	0.00002287	2369.088136	0.00002851
178	760.308836	0.00000915	947.635254	0.00001140
179	950.386046	0.00001144	473.817628	0.00000570
180	3231.312558	0.00003889	1737.331299	0.00002091
181	22619.187913	0.00027220	23059.124541	0.00027747
182	16536.717213	0.00019900	10897.805432	0.00013113
183	6842.779535	0.00008235	7581.082039	0.00009122
